No.,Stock,Company name,Industry,Exchange,Status
60,L35,Lilama Erection Mechanical JSC,Heavy and Civil Engineering Construction,HNX,Supervising
61,L43,Lilama 45.3 Joint Stock Company,Specialty Trade Contractors,HNX,Warning
62,L62,Lilama 69 - 2 Joint Stock Company,Specialty Trade Contractors,HNX,Warning
63,LCS,Licogi 166 JSC,Heavy and Civil Engineering Construction,HNX,Supervising
64,LDP,Lam Dong Pharmaceutical JSC,Chemical - Pharmaceutical,HNX,Warning
65,LM7,Lilama 7 Joint Stock Company,Specialty Trade Contractors,HNX,Supervising
66,LUT,Luong Tai Invesment & Construction Joint Stock Corporation,Heavy and Civil Engineering Construction,HNX,Supervising
67,MAC,Maritime Supply & Techlonogy Service JSC,Support Activities for Transportation,HNX,Supervising
68,MAS,Danang Airports Services Joint Stock Company,Support Activities for Transportation,HNX,Supervising
69,MIM,Mineral & Mechanical Joint Stock Company,Mining (except Oil and Gas),HNX,Supervising
70,OCH,One Capital Hospitality Joint Stock Company,Hotel and Accomodation,HNX,Warning
71,PCG,PetroVietnam Gas City Investment and Development JSC,Natural Gas Distribution,HNX,Warning
72,PEN,Petrolimex Installation No.III Joint Stock Company,Heavy and Civil Engineering Construction,HNX,Warning
73,PGT,PGT Holdings Joint Stock Company,Transit and Ground Passenger Transportation,HNX,Warning
74,PJC,Petrolimex Hanoi Transportation & Trading JSC,Truck Transportation,HNX,Warning
75,PPE,PetroVietnam Power Engineering JSC,"Architectural, Engineering, and Related Services",HNX,Warning
76,PV2,PV2 Investment JSC,Real Estate,HNX,Warning
77,PVL,Viet Property Investment Joint Stock Company,Real Estate,HNX,Supervising
78,SD4,Song Da 4 Joint Stock Company,Heavy and Civil Engineering Construction,HNX,Supervising
79,SDT,Song Da No 10 JSC,Heavy and Civil Engineering Construction,HNX,Supervising
80,SDU,Song Da Urban Investment Construction & Development JSC,Real Estate,HNX,Warning
81,SFN,Sai Gon Fishing Net Joint Stock Company,Plastics and Rubber,HNX,Supervising
82,SGH,Sai Gon Hotel Corporation,Hotel and Accomodation,HNX,Warning
83,SPI,SPI JSC,Mining (except Oil and Gas),HNX,Supervising
84,SRA,Sara Vietnam JSC,"Merchant Wholesalers, Durable Goods",HNX,Supervising
85,SSM,Steel Structure Manufacture Joint Stock Company,Fabricated Metal Product,HNX,Warning
86,STP,Song Da Industry Trade JSC,Paper Manufacturing,HNX,Warning
87,TC6,Vinacomin - Coc Sau Coal JSC,Mining (except Oil and Gas),HNX,Supervising
88,TFC,Trang Corporation,Food Manufacturing,HNX,Warning
89,TTZ,Tien Trung Investment Construction and Technology JSC,Truck Transportation,HNX,Supervising
90,VC9,VC9 - NO 9 Construction Joint Stock Company,Construction,HNX,Warning
91,VE1,Vneco1 Electricity Construction Joint Stock Company,Heavy and Civil Engineering Construction,HNX,Warning
92,VE2,Vneco2 Electricity Construction Joint Stock Company,Heavy and Civil Engineering Construction,HNX,Supervising
93,VE4,VNECO4 Electricity Construction JSC,Heavy and Civil Engineering Construction,HNX,Warning
94,VGP,The Vegetexco Port JSC,Support Activities for Transportation,HNX,Supervising
95,VIG,Viet Nam Industrial & Commercial Securities Corporation,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",HNX,Warning
96,VKC,VKC Holdings Joint Stock Company,"Merchant Wholesalers, Durable Goods",HNX,Warning
97,VMC,Vimeco JSC,Specialty Trade Contractors,HNX,Supervising
98,VTJ,Vi na ta ba Trading & Investment Joint Stock Company,Furniture and Home Furnishings Stores,HNX,Supervising
99,VTL,Thang Long Wine Joint Stock Company,Beverage - Tobacco,HNX,Warning
